
DECIMAL       HEXADECIMAL     DESCRIPTION
--------------------------------------------------------------------------------
0             0x0             Linux EXT filesystem, blocks count: 204800, image size: 209715200, rev 2.0, ext4 filesystem data, UUID=57f8f4bc-abf4-655f-bf67-946fc0f9c0f9
402652160     0x17FFFC00      Linux EXT filesystem, blocks count: 204800, image size: 209715200, rev 2.0, ext4 filesystem data, UUID=57f8f4bc-abf4-655f-bf67-946fc0f9c0f9
820314112     0x30E50000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
820339763     0x30E56433      Unix path: /var/cache/chromeos-cache/distfiles/host/egit-src/clang.git af6a0b98569cf7981fe27327ac4bf19bd0d6b162) (/var/cache/chromeos-cache
820342784     0x30E57000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
820368435     0x30E5D433      Unix path: /var/cache/chromeos-cache/distfiles/host/egit-src/clang.git af6a0b98569cf7981fe27327ac4bf19bd0d6b162) (/var/cache/chromeos-cache
820371456     0x30E5E000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
820379851     0x30E600CB      Unix path: /var/cache/chromeos-cache/distfiles/host/egit-src/clang.git af6a0b98569cf7981fe27327ac4bf19bd0d6b162) (/var/cache/chromeos-cache
820383744     0x30E61000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
820392103     0x30E630A7      Unix path: /var/cache/chromeos-cache/distfiles/host/egit-src/clang.git af6a0b98569cf7981fe27327ac4bf19bd0d6b162) (/var/cache/chromeos-cache
820396032     0x30E64000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
820404391     0x30E660A7      Unix path: /var/cache/chromeos-cache/distfiles/host/egit-src/clang.git af6a0b98569cf7981fe27327ac4bf19bd0d6b162) (/var/cache/chromeos-cache
820408320     0x30E67000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
820468736     0x30E75C00      Unix path: /dev/snd/controlC
820469308     0x30E75E3C      Unix path: /var/lib/alsa/asound.state)
820486144     0x30E7A000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
820543488     0x30E88000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
820559872     0x30E8C000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
820580352     0x30E91000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
820621312     0x30E9B000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
820629651     0x30E9D093      Unix path: /dev/icx_nvp/003
820633767     0x30E9E0A7      Unix path: /var/cache/chromeos-cache/distfiles/host/egit-src/clang.git af6a0b98569cf7981fe27327ac4bf19bd0d6b162) (/var/cache/chromeos-cache
820637696     0x30E9F000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
820699136     0x30EAE000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
820805632     0x30EC8000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
820820943     0x30ECBBCF      Unix path: /sys/autok/ss_corner
820821719     0x30ECBED7      Unix path: /sys/autok/param_count
820821787     0x30ECBF1B      Unix path: /sys/autok/debug
820821827     0x30ECBF43      Unix path: /sys/autok/ready
820821874     0x30ECBF72      Unix path: /sys/autok/stage2
820821930     0x30ECBFAA      Unix path: /sys/autok/stage1
820822071     0x30ECC037      Unix path: /sys/kernel/debug/autok_log
820826279     0x30ECD0A7      Unix path: /var/cache/chromeos-cache/distfiles/host/egit-src/clang.git af6a0b98569cf7981fe27327ac4bf19bd0d6b162) (/var/cache/chromeos-cache
820830208     0x30ECE000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
821379706     0x30F5427A      Unix path: /usr/local/share/bashdb/bashdb-main.inc
821383111     0x30F54FC7      Unix path: /usr/gnu/bin:/usr/local/bin:/bin:/usr/bin:.
821386350     0x30F55C6E      Copyright string: "Copyright (C) 2007 Free Software Foundation, Inc."
821477027     0x30F6BEA3      Unix path: /var/cache/chromeos-cache/distfiles/host/egit-src/clang.git af6a0b98569cf7981fe27327ac4bf19bd0d6b162) (/var/cache/chromeos-cache
821628928     0x30F91000      Executable script, shebang: "/bin/sh"
821629274     0x30F9115A      Unix path: /sys/module/icx_pm_helper/parameters/icx_bid3`
821633024     0x30F92000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
821641387     0x30F940AB      Unix path: /var/cache/chromeos-cache/distfiles/host/egit-src/clang.git af6a0b98569cf7981fe27327ac4bf19bd0d6b162) (/var/cache/chromeos-cache
821645312     0x30F95000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
821742667     0x30FACC4B      QNX4 Boot Block
821862459     0x30FCA03B      Unix path: /var/cache/chromeos-cache/distfiles/host/egit-src/clang.git af6a0b98569cf7981fe27327ac4bf19bd0d6b162) (/var/cache/chromeos-cache
822101971     0x310047D3      mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 4bit
822144847     0x3100EF4F      Unix path: /usr/lib/gcc/armv7a-cros-linux-gnueabi/4.9.x/include
822153331     0x31011073      mcrypt 2.2 encrypted data, algorithm: blowfish-448, mode: CBC, keymode: 8bit
822280192     0x31030000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
822288384     0x31032000      Executable script, shebang: "/bin/sh"
822292480     0x31033000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
822870016     0x310C0000      ELF, 32-bit LSB shared object, ARM, version 1 (SYSV)
822882475     0x310C30AB      Unix path: /var/cache/chromeos-cache/distfiles/host/egit-src/clang.git af6a0b98569cf7981fe27327ac4bf19bd0d6b162) (/var/cache/chromeos-cache
