0x00da  SMS_RSV2
0x00db  DNC_REQ
0x00f0  BUT_TH
0x00f4  OCDDET_DSE
0x00f5  OCDDET_DBTL
0x00f8  INT_EN0
0x00f9  INT_EN1
0x00fa  INT_EN2
0x00fc  INT0
0x00fd  INT1
0x00fe  INT2
