0x0000033C: ISINK1_CON2
0x0000033E: ISINK1_CON3
0x00000340: ISINK2_CON0
0x00000342: ISINK2_CON1
0x00000344: ISINK2_CON2
0x00000346: ISINK2_CON3
0x00000348: ISINK3_CON0
0x0000034A: ISINK3_CON1
0x0000034C: ISINK3_CON2
0x0000034E: ISINK3_CON3
0x00000350: ISINK_ANA0
0x00000352: ISINK_ANA1
0x00000354: ISINK_PHASE_DLY
0x00000356: ISINK_EN_CTRL
0x00000400: ANALDO_CON0
0x00000402: ANALDO_CON1
0x00000404: ANALDO_CON2
0x00000406: ANALDO_CON3
0x00000408: ANALDO_CON4
0x0000040A: ANALDO_CON5
0x0000040C: ANALDO_CON6
0x0000040E: ANALDO_CON7
0x00000410: ANALDO_CON8
0x00000412: ANALDO_CON10
0x00000414: ANALDO_CON15
0x00000416: ANALDO_CON16
0x00000418: ANALDO_CON17
0x0000041A: ANALDO_CON18
0x0000041C: ANALDO_CON19
0x0000041E: ANALDO_CON20
0x00000420: ANALDO_CON21
0x00000500: DIGLDO_CON0
0x00000502: DIGLDO_CON2
0x00000504: DIGLDO_CON3
0x00000506: DIGLDO_CON5
0x00000508: DIGLDO_CON6
0x0000050A: DIGLDO_CON7
0x0000050C: DIGLDO_CON8
0x0000050E: DIGLDO_CON9
0x00000510: DIGLDO_CON10
0x00000512: DIGLDO_CON11
0x00000514: DIGLDO_CON12
0x00000516: DIGLDO_CON13
0x00000518: DIGLDO_CON14
0x0000051A: DIGLDO_CON15
0x0000051C: DIGLDO_CON16
0x0000051E: DIGLDO_CON17
0x00000520: DIGLDO_CON18
0x00000522: DIGLDO_CON19
0x00000524: DIGLDO_CON20
0x00000526: DIGLDO_CON21
0x00000528: DIGLDO_CON23
0x0000052A: DIGLDO_CON24
0x0000052C: DIGLDO_CON26
0x0000052E: DIGLDO_CON27
0x00000530: DIGLDO_CON28
0x00000532: DIGLDO_CON29
0x00000534: DIGLDO_CON30
0x00000536: DIGLDO_CON31
0x00000538: DIGLDO_CON32
0x0000053A: DIGLDO_CON33
0x0000053C: DIGLDO_CON34
0x0000053E: DIGLDO_CON35
0x00000540: DIGLDO_CON36
0x00000542: DIGLDO_CON39
0x00000544: DIGLDO_CON40
0x00000546: DIGLDO_CON41
0x00000548: DIGLDO_CON42
0x0000054A: DIGLDO_CON43
0x0000054C: DIGLDO_CON44
0x0000054E: DIGLDO_CON45
0x00000550: DIGLDO_CON46
0x00000552: DIGLDO_CON47
0x00000554: DIGLDO_CON48
0x00000556: DIGLDO_CON49
0x00000558: DIGLDO_CON50
0x0000055A: DIGLDO_CON51
0x0000055C: DIGLDO_CON52
0x0000055E: DIGLDO_CON53
0x00000560: DIGLDO_CON54
0x00000600: EFUSE_CON0
0x00000602: EFUSE_CON1
0x00000604: EFUSE_CON2
0x00000606: EFUSE_CON3
0x00000608: EFUSE_CON4
0x0000060A: EFUSE_CON5
0x0000060C: EFUSE_CON6
0x0000060E: EFUSE_VAL_0_15
0x00000610: EFUSE_VAL_16_31
0x00000612: EFUSE_VAL_32_47
0x00000614: EFUSE_VAL_48_63
0x00000616: EFUSE_VAL_64_79
0x00000618: EFUSE_VAL_80_95
0x0000061A: EFUSE_VAL_96_111
0x0000061C: EFUSE_VAL_112_127
0x0000061E: EFUSE_VAL_128_143
0x00000620: EFUSE_VAL_144_159
0x00000622: EFUSE_VAL_160_175
0x00000624: EFUSE_VAL_176_191
0x00000626: EFUSE_DOUT_0_15
0x00000628: EFUSE_DOUT_16_31
0x0000062A: EFUSE_DOUT_32_47
0x0000062C: EFUSE_DOUT_48_63
0x0000062E: EFUSE_DOUT_64_79
0x00000630: EFUSE_DOUT_80_95
0x00000632: EFUSE_DOUT_96_111
0x00000634: EFUSE_DOUT_112_127
0x00000636: EFUSE_DOUT_128_143
0x00000638: EFUSE_DOUT_144_159
0x0000063A: EFUSE_DOUT_160_175
0x0000063C: EFUSE_DOUT_176_191
0x0000063E: EFUSE_CON7
0x00000640: EFUSE_CON8
0x00000642: EFUSE_CON9
0x00000644: RTC_MIX_CON0
0x00000646: RTC_MIX_CON1
0x00000700: AUDTOP_CON0
0x00000702: AUDTOP_CON1
0x00000704: AUDTOP_CON2
0x00000706: AUDTOP_CON3
0x00000708: AUDTOP_CON4
0x0000070A: AUDTOP_CON5
0x0000070C: AUDTOP_CON6
0x0000070E: AUDTOP_CON7
0x00000710: AUDTOP_CON8
0x00000712: AUDTOP_CON9
0x00000714: AUXADC_ADC0
0x00000716: AUXADC_ADC1
0x00000718: AUXADC_ADC2
0x0000071A: AUXADC_ADC3
0x0000071C: AUXADC_ADC4
0x0000071E: AUXADC_ADC5
0x00000720: AUXADC_ADC6
0x00000722: AUXADC_ADC7
0x00000724: AUXADC_ADC8
0x00000726: AUXADC_ADC9
0x00000728: AUXADC_ADC10
0x0000072A: AUXADC_ADC11
0x0000072C: AUXADC_ADC12
0x0000072E: AUXADC_ADC13
0x00000730: AUXADC_ADC14
0x00000732: AUXADC_ADC15
0x00000734: AUXADC_ADC16
0x00000736: AUXADC_ADC17
0x00000738: AUXADC_ADC18
0x0000073A: AUXADC_ADC19
0x0000073C: AUXADC_ADC20
0x0000073E: AUXADC_RSV1
0x00000740: AUXADC_RSV2
0x00000742: AUXADC_CON0
0x00000744: AUXADC_CON1
0x00000746: AUXADC_CON2
0x00000748: AUXADC_CON3
0x0000074A: AUXADC_CON4
0x0000074C: AUXADC_CON5
0x0000074E: AUXADC_CON6
